User ID,Vehicle Model,Battery Capacity (kWh),Charging Station ID,Charging Station Location,Charging Start Time,Charging End Time,Energy Consumed (kWh),Charging Duration (hours),Charging Rate (kW),Charging Cost (USD),Time of Day,Day of Week,State of Charge (Start %),State of Charge (End %),Distance Driven (since last charge) (km),Temperature (°C),Vehicle Age (years),Charger Type,User Type
User_1,BMW i3,108.4630074,Station_391,Houston,01/01/2024 00:00,01/01/2024 00:39,60.71234573,0.591363425,36.38918057,13.08771679,Evening,Tuesday,29.37157598,86.11996244,293.6021106,27.94795306,2.0,DC Fast Charger,Commuter
User_2,Hyundai Kona,100.0,Station_428,San Francisco,01/01/2024 01:00,01/01/2024 03:01,12.3392752,3.133652053,30.67773494,21.12844793,Morning,Monday,10.11577764,84.66434363,112.1128037,14.31102566,3.0,Level 1,Casual Driver
User_3,Chevy Bolt,75.0,Station_181,San Francisco,01/01/2024 02:00,01/01/2024 04:48,19.1288757,2.452652726,27.51359256,35.66727042,Morning,Thursday,6.854604444,69.91761524,71.79925293,21.00200184,2.0,Level 2,Commuter
User_4,Hyundai Kona,50.0,Station_327,Houston,01/01/2024 03:00,01/01/2024 06:42,79.45782399,1.266430805,32.88286976,13.03623883,Evening,Saturday,83.12000296,99.62432763,199.5777845,38.31631316,1.0,Level 1,Long-Distance Traveler
User_5,Hyundai Kona,50.0,Station_108,Los Angeles,01/01/2024 04:00,01/01/2024 05:46,19.62910417,2.019765087,10.21571207,10.16147117,Morning,Saturday,54.25894969,63.74378604,203.6618466,-7.834199027,1.0,Level 1,Long-Distance Traveler
User_6,Nissan Leaf,50.0,Station_335,San Francisco,01/01/2024 05:00,01/01/2024 07:10,43.18113714,1.167640154,14.33452278,36.90034078,Evening,Saturday,75.21774834,71.98228757,143.6800461,-5.274217797,0.0,DC Fast Charger,Long-Distance Traveler
User_7,Chevy Bolt,85.0,Station_162,Houston,01/01/2024 06:00,01/01/2024 07:53,36.86213999,3.539619026,26.18518786,22.21422518,Evening,Friday,60.75178076,70.7960969,81.33800891,27.55133468,4.0,Level 2,Commuter
User_8,Chevy Bolt,75.0,Station_302,Los Angeles,01/01/2024 07:00,01/01/2024 10:42,51.46761686,2.655396446,26.70290777,9.796821321,Afternoon,Monday,56.20170303,63.78681533,116.5431658,-4.417459666,0.0,Level 2,Long-Distance Traveler
User_9,Chevy Bolt,62.0,Station_493,Los Angeles,01/01/2024 08:00,01/01/2024 09:21,43.59237228,1.724203599,14.29492293,32.46500507,Evening,Wednesday,33.46620026,92.9614209,208.2597425,22.51670643,4.0,Level 1,Commuter
User_10,Hyundai Kona,50.0,Station_452,Chicago,01/01/2024 09:00,01/01/2024 12:44,78.86860745,2.026874691,11.76099972,21.31230245,Morning,Wednesday,27.39945463,70.05338138,54.0063092,27.51201936,2.830381307,DC Fast Charger,Commuter
User_11,BMW i3,50.0,Station_206,Los Angeles,01/01/2024 10:00,01/01/2024 13:59,18.20619748,2.648635448,10.31070111,38.2212307,Night,Thursday,76.08656557,82.26558163,64.63464375,0.500433564,3.0,DC Fast Charger,Casual Driver
User_12,Chevy Bolt,85.0,Station_78,San Francisco,01/01/2024 11:00,01/01/2024 14:55,22.56492948,2.057888622,4.464822629,14.05086135,Evening,Sunday,14.61890237,85.85749415,194.7638067,34.26261127,0.0,DC Fast Charger,Long-Distance Traveler
User_13,Hyundai Kona,100.0,Station_16,San Francisco,01/01/2024 12:00,01/01/2024 13:00,34.25645291,3.065584752,5.523688619,10.972136,Afternoon,Monday,19.20544695,51.62648273,249.1275965,23.66296536,0.0,Level 2,Casual Driver
User_14,Nissan Leaf,75.0,Station_327,Houston,01/01/2024 13:00,01/01/2024 15:54,16.56106433,3.590965718,19.76909872,37.4418566,Morning,Friday,25.77541539,69.2012291,159.2316102,34.11034864,7.0,Level 2,Commuter
User_15,BMW i3,85.0,Station_96,Houston,01/01/2024 14:00,01/01/2024 17:32,12.92754529,3.421809338,24.21115012,18.55281568,Afternoon,Monday,71.68354384,63.70663794,155.3606054,39.50544569,4.0,Level 1,Casual Driver
User_16,Nissan Leaf,100.0,Station_147,Los Angeles,01/01/2024 15:00,01/01/2024 17:19,27.35431788,2.703286128,11.11249884,33.09349271,Evening,Monday,10.67715373,72.40347015,247.6594369,-8.302136899,1.535234088,DC Fast Charger,Long-Distance Traveler
User_17,BMW i3,97.68181223,Station_2,New York,01/01/2024 16:00,01/01/2024 18:02,24.72693768,3.458680279,49.40273862,17.49480846,Evening,Thursday,67.59197091,89.94222936,237.3064209,4.415329619,7.0,DC Fast Charger,Commuter
User_18,Hyundai Kona,50.0,Station_10,Chicago,01/01/2024 17:00,01/01/2024 20:13,23.82404047,0.848218268,6.614280125,6.430589212,Evening,Friday,57.59519512,74.96195035,22.00682916,18.40570905,6.0,Level 2,Casual Driver
User_19,Tesla Model 3,100.0,Station_434,New York,01/01/2024 18:00,01/01/2024 21:03,42.63801819,0.807532158,20.49084605,25.07879371,Evening,Saturday,55.51705087,52.71348869,280.862071,37.43035653,0.0,Level 1,Long-Distance Traveler
User_20,BMW i3,50.0,Station_125,Los Angeles,01/01/2024 19:00,01/01/2024 20:22,48.48248431,2.580925354,45.29143535,7.090844201,Morning,Wednesday,12.75487757,116.0956569,243.2557695,9.202409892,3.0,Level 2,Long-Distance Traveler
User_21,Nissan Leaf,50.0,Station_81,Los Angeles,01/01/2024 20:00,01/01/2024 22:54,50.27906667,3.168872892,30.48996023,28.87289461,Night,Tuesday,16.54551237,77.93632714,15.4204446,33.9803101,3.0,Level 2,Casual Driver
